BindingDB Reactant_set_id,Ligand SMILES,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Ki (nM)
51180264,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,0.8
50180616,COc1ccc(\C=C\c2ccc(\C=C\c3ccc(OC)c(c3)C(O)=O)c(I)c2)cc1C(O)=O,50100135,"(E,E)-1-iodo-2,5-bis-(3-hydroxycarbonyl-4-methoxy)styrylbenzene::5-[2-{4-[2-(3-carboxy-4-methoxyphenyl)-(E)-1-ethenyl]-2-iodophenyl}-(E)-1-ethenyl]-2-methoxybenzoic acid::CHEMBL292910",Amyloid-beta precursor protein,0.8
50180593,CN(C)c1ccc(cc1)-c1nc2ccc(Br)cc2s1,50100133,CHEMBL55401::[4-(6-Bromo-benzothiazol-2-yl)-phenyl]-dimethyl-amine,Amyloid-beta precursor protein,0.8
51172147,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,0.87
51179876,CNc1ccc(cc1)-c1nc2ccc(O)cc2s1,50129793,"2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol::2-(4-Methylamino-phenyl)-benzothiazol-6-ol::4-methylamino-phenyl)-benzothiazol-6-ol::6-Hydroxy-2-(4''-N-methylaminophenyl)-1,3-benzothiazole::CHEMBL1788111::CHEMBL93124::N-methyl-2-(4''-methylaminophenyl)-6-hydroxybenzothiazole::N-methyl-[11C]2-(40-methylaminophenyl)-6-hydroxy benzothiazole::[3H]2-(4-(methylamino)phenyl)benzo[d]thiazol-6-ol",Amyloid-beta precursor protein,0.87
51196556,CN(C)c1ccc(cc1)-c1cnc2cc(OCCF)ccc2n1,50492526,CHEMBL2407616,Amyloid-beta precursor protein,0.895
51196551,CN(C)c1ccc(cc1)-c1cnc2cc(OCC[18F])ccc2n1,50492522,CHEMBL2407622,Amyloid-beta precursor protein,0.895
51172886,CN1C(=O)c2ccc(Nc3ccc(I)cc3)cc2C1=O,50481609,CHEMBL610504,Amyloid-beta precursor protein,0.9
50222458,CN(C)c1ccc(cc1)-c1nc2ccc(I)cc2s1,50100130,"4-(6-Iodobenzo[d]thiazol-2-yl)-N,N-dimethylaniline::CHEMBL55380::[4-(6-Iodo-benzothiazol-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,0.9
50180589,CN(C)c1ccc(cc1)-c1nc2ccc(I)cc2s1,50100130,"4-(6-Iodobenzo[d]thiazol-2-yl)-N,N-dimethylaniline::CHEMBL55380::[4-(6-Iodo-benzothiazol-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,0.9
