Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
QuantileRegressor,2.2253209304828827e+72,-3.0799731719002216e+73,2.210337088620657e+35,65.73502397537231
Lars,7.873485641485556e+28,-1.0897360561766241e+30,41576287271143.734,0.4971487522125244
SGDRegressor,1.6297273644245488e+25,-2.255637149312238e+26,598163162199.8749,0.1259596347808838
TransformedTargetRegressor,1.5065373791280398e+20,-2.0851350682134467e+21,1818662619.3836,0.1724543571472168
LinearRegression,1.5065373791280398e+20,-2.0851350682134467e+21,1818662619.3836,0.17025494575500488
MLPRegressor,18.693032648351718,-243.88182868370856,0.6232514881056427,1.1748971939086914
HuberRegressor,2.209422359595587,-15.739106571214286,0.16294880558113956,0.6297614574432373
OrthogonalMatchingPursuit,1.6769232625685684,-8.369010373231635,0.12190791516356786,0.1383826732635498
ExtraTreeRegressor,1.638410959351402,-7.835977770733173,0.1183892724231616,0.1833510398864746
AdaBoostRegressor,1.619349071602318,-7.572150193916141,0.11660842517376971,1.1114435195922852
GradientBoostingRegressor,1.6071700010933512,-7.40358479774131,0.11545622076805016,1.7806828022003174
ExtraTreesRegressor,1.5322837336910486,-6.367115444564514,0.10810201319827928,7.493531227111816
XGBRegressor,1.5054850143088507,-5.996205632825397,0.10534558208059024,0.5885481834411621
SVR,1.481248883783879,-5.660763536429051,0.10278909734686431,0.1455521583557129
LinearSVR,1.3179129990687184,-3.400100204501827,0.08354420442779505,1.6196825504302979
PassiveAggressiveRegressor,1.3142724080963526,-3.349712314956763,0.08306447247963897,0.1447768211364746
Ridge,1.3141484227892894,-3.347996286431469,0.08304808575618224,0.11960577964782715
BayesianRidge,1.31279075350185,-3.3292053564386483,0.08286843513192457,0.18015789985656738
KernelRidge,1.3116425619800258,-3.3133137201583285,0.08271619867314557,0.1290287971496582
BaggingRegressor,1.2938184496493121,-3.0666176726825087,0.08031593435426637,0.7151575088500977
RidgeCV,1.2907524896487723,-3.0241830089069204,0.07989579191356588,0.1498408317565918
RandomForestRegressor,1.1840353291714094,-1.5471556428796527,0.06356422932577195,6.535556077957153
OrthogonalMatchingPursuitCV,1.133302210973775,-0.8449798765210894,0.05409795658751211,0.3478996753692627
TweedieRegressor,1.112061743564833,-0.5509994942668903,0.0496010502537216,0.15672826766967773
LarsCV,1.1102672746724034,-0.5261630045238443,0.049202311375759956,7.869830369949341
GaussianProcessRegressor,1.0796967198953724,-0.10304880434899344,0.04182947447480217,0.39018702507019043
KNeighborsRegressor,1.0738771248201908,-0.022502234830177104,0.04027329628850773,0.2238762378692627
LassoLars,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.13546466827392578
LassoLarsCV,1.0724269044309387,-0.002430343935454937,0.03987605133905759,2.10280179977417
LassoCV,1.0724269044309387,-0.002430343935454937,0.03987605133905759,32.318745374679565
Lasso,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.14533019065856934
ElasticNetCV,1.0724269044309387,-0.002430343935454937,0.03987605133905759,34.1984429359436
ElasticNet,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.10440421104431152
DummyRegressor,1.0724269044309387,-0.002430343935454937,0.03987605133905759,0.09900307655334473
NuSVR,1.068447405788816,0.05264822422725579,0.038765079682399485,0.24382948875427246
PoissonRegressor,1.0569369574350131,0.21195950216757264,0.0353556896141254,0.14652228355407715
DecisionTreeRegressor,1.0494278850155518,0.31588941753837596,0.03294186617251164,0.16076064109802246
LGBMRegressor,1.0447164642490965,0.38109821220453455,0.03133256237126601,0.40795445442199707
HistGradientBoostingRegressor,1.0437409019090897,0.3946005605336138,0.03098889221941108,6.734714984893799
