BindingDB Reactant_set_id,Ligand SMILES,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Ki (nM),MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
50183297,O=C(O)c1cc(/C=C/c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,50101410,"(trans,trans)-1-bromo-2,5-bis-(3-hydroxycarbonyl-4-hydroxy)styrylbenzene::5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL74704",Amyloid-beta precursor protein,0.11,12.142662124190496,12.142662124190496,0.5401271779500496,-1.6018777703770566,0.34110540958760865,481.29799999999983,464.16200000000015,480.0208503640004,156,0,0.338991412667286,-0.5070521296628345,0.5070521296628345,0.338991412667286,0.7741935483870968,1.2580645161290323,1.7741935483870968,12.252101184947215,-0.0891654603751819,0.6530879599659886,-2.264598806804385,0.7596131289031003,-2.128148302962204,2.868336658172558,-0.7500219474249873,3.0542663581399006,2.4082657833650023,1795.2211068137003,36.68483358529721,31.827454215792407,16.41345075490711,22.365691260302327,16.046720269751653,8.706725377453555,5.422145484099007,6.215143753656358,3.3561711856902208,3.950919887858235,1.9840106694335375,2.380509804212213,-3.839999999999999,10493151079.558838,8.723156108359438,9.316607700312174,5.403332025471043,209.95474450351088,20.43523276442885,22.6259266499618,0.0,0.0,5.724798628930537,11.938610575903699,0.0,9.589074368143644,0.0,0.0,64.3079057127448,52.46589950510445,4.472719515832414,17.819861230212858,47.84416836278539,52.076841457995314,5.724798628930537,0.0,0.0,0.0,0.0,92.23519683498404,0.0,11.49902366656781,0.0,0.0,11.49902366656781,15.929943897949348,35.23624265479781,0.0,0.0,60.78964454853852,58.85448788480207,0.0,27.070686298607537,0.0,115.06,139.88111806159785,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.365176662378204,23.544659859143398,136.23504564541878,2.9604337877764104,24.281419289703308,15.924603247022702,-5.274609377707655,-5.102511081508227,-13.274381510705279,0.0,0.0,0.0,0.0,31,4,6,0,0,0,3,0,3,6,4,7,8,0,0,0,3,5.597500000000005,122.13020000000003,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50183299,O=C(O)c1cc(/C=C\c2ccc(/C=C\c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,50101411,5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL76112,Amyloid-beta precursor protein,0.13,12.142662124190496,12.142662124190496,0.5401271779500496,-1.6018777703770566,0.34110540958760865,481.29799999999983,464.16200000000015,480.0208503640004,156,0,0.338991412667286,-0.5070521296628345,0.5070521296628345,0.338991412667286,0.7741935483870968,1.2580645161290323,1.7741935483870968,12.252101184947215,-0.0891654603751819,0.6530879599659886,-2.264598806804385,0.7596131289031003,-2.128148302962204,2.868336658172558,-0.7500219474249873,3.0542663581399006,2.4082657833650023,1795.2211068137003,36.68483358529721,31.827454215792407,16.41345075490711,22.365691260302327,16.046720269751653,8.706725377453555,5.422145484099007,6.215143753656358,3.3561711856902208,3.950919887858235,1.9840106694335375,2.380509804212213,-3.839999999999999,10493151079.558838,8.723156108359438,9.316607700312174,5.403332025471043,209.95474450351088,20.43523276442885,22.6259266499618,0.0,0.0,5.724798628930537,11.938610575903699,0.0,9.589074368143644,0.0,0.0,64.3079057127448,52.46589950510445,4.472719515832414,17.819861230212858,47.84416836278539,52.076841457995314,5.724798628930537,0.0,0.0,0.0,0.0,92.23519683498404,0.0,11.49902366656781,0.0,0.0,11.49902366656781,15.929943897949348,35.23624265479781,0.0,0.0,60.78964454853852,58.85448788480207,0.0,27.070686298607537,0.0,115.06,139.88111806159785,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.365176662378204,23.544659859143398,136.23504564541878,2.9604337877764104,24.281419289703308,15.924603247022702,-5.274609377707655,-5.102511081508227,-13.274381510705279,0.0,0.0,0.0,0.0,31,4,6,0,0,0,3,0,3,6,4,7,8,0,0,0,3,5.597500000000005,122.13020000000003,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50183298,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)c(C(=O)O)c4)cc3)cc2)ccc1O,50100131,5-(Biphenyl-4-ylazo)-bis (2-hydroxy-benzoic acid)(Chrysamine G)::Bis(2-Hydroxy-5-phenylazo-benzoic acid)::CHEMBL300172::chrysamine -G::chrysamine G,Amyloid-beta precursor protein,0.14,12.06414235073563,12.06414235073563,0.7611692952915619,-1.5624662785042867,0.2071804080007664,482.45200000000006,464.3080000000004,482.1226342960004,178,0,0.3390510901299124,-0.5070501087087479,0.5070501087087479,0.3390510901299124,0.5555555555555556,0.9166666666666666,1.2777777777777777,12.872966483329686,-0.08935737087044662,0.6577365357664842,-2.246246650118654,0.7226441475677706,-2.0991003719792674,2.8800281562782106,-0.7500078424153999,3.14948736317865,1.8977636568941991,2122.4813895314787,40.66796124842266,35.23834412478301,17.23834412478301,25.332017755491115,17.90216522424696,9.269172062391506,6.277590438594308,6.277590438594308,3.911648103811717,3.911648103811717,2.319028048368703,2.319028048368703,-5.379999999999999,241271093455.28754,10.08182824115849,10.263474414616766,5.567892623613955,229.36225489986163,20.43523276442885,22.6259266499618,0.0,0.0,5.724798628930537,11.938610575903699,0.0,9.589074368143644,20.45700050251759,0.0,24.16967483065318,71.55109006002695,0.0,41.94016488511735,49.21492691895561,34.68815567463795,5.724798628930537,0.0,20.45700050251759,0.0,0.0,95.72076489068016,0.0,22.6259266499618,0.0,22.74954509873425,11.49902366656781,0.0,35.23624265479781,0.0,0.0,39.90659713792073,105.05086240980376,0.0,13.98930229785926,0.0,164.49999999999997,153.03484721527994,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.89223326694644,24.915418415313617,144.35090771488075,0.0,24.12828470147126,30.15963066201394,-6.812331406645867,-4.955420669572701,-13.537737668814026,0.0,0.0,0.0,0.0,36,4,10,0,0,0,4,0,4,10,4,10,9,0,0,0,4,6.992000000000006,130.36220000000003,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50180603,COc1ccc(/C=C/c2ccc(/C=C/c3ccc(OC)c(C(=O)O)c3)c(I)c2)cc1C(=O)O,50100135,"(E,E)-1-iodo-2,5-bis-(3-hydroxycarbonyl-4-methoxy)styrylbenzene::5-[2-{4-[2-(3-carboxy-4-methoxyphenyl)-(E)-1-ethenyl]-2-iodophenyl}-(E)-1-ethenyl]-2-methoxybenzoic acid::CHEMBL292910",Amyloid-beta precursor protein,0.17,12.400965582083346,12.400965582083346,0.46622451495647765,-3.3310259006928717,0.259568751773973,556.352000000001,535.1840000000002,556.0382863920006,168,0,0.3389996317374961,-0.4958548393550918,0.4958548393550918,0.3389996317374961,0.8484848484848485,1.3333333333333333,1.8484848484848484,11.804218364173543,-0.24553521943442363,0.450850382190991,-2.2944854316629564,0.515993753627031,-2.2856233149681793,2.634724786686593,-0.9442723116513149,3.0645812360292433,2.4128444598751315,1978.9554450555918,41.68483358529721,36.82745421579241,17.984952506968728,24.65858447911578,18.638471979287793,9.400724543948227,5.626269629330937,6.705018774919099,3.5602953309221523,4.36935719011327,2.137103778357486,2.676478351151565,-3.5899999999999994,82372937346.88805,8.641898726379901,10.822504086073145,6.012193398535595,234.16408368674482,19.69134228981452,22.6259266499618,0.0,0.0,2.8623993144652684,11.938610575903699,0.0,9.589074368143644,0.0,0.0,48.37796181479544,75.05677013217252,3.5701822710653963,40.12031748499937,55.324829225192396,58.73776818711402,2.8623993144652684,0.0,0.0,0.0,14.075904917765177,91.33265959021703,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,22.590870627068057,36.232131875883304,0.0,3.5701822710653963,69.01419588555983,54.38176836896965,0.0,27.070686298607537,0.0,93.06000000000002,153.054485734596,9.589074368143644,0.0,0.0,0.0,0.0,22.590870627068057,0.0,0.0,19.69134228981452,28.906811881699447,176.76505428890292,1.3703243559009823,24.796932817059254,7.635298144064583,-5.90257141302084,-5.81108477597832,-14.575703268435419,0.0,0.0,-6.658250148493181,0.07692307692307693,33,2,6,0,0,0,3,0,3,6,2,7,10,0,0,0,3,6.045600000000006,136.92159999999998,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50183301,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)cc2Br)ccc1O,50101413,5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL305634,Amyloid-beta precursor protein,0.19,12.142662124190498,12.142662124190498,0.5401271779500492,-1.6018777703770566,0.34110540958760865,481.29799999999983,464.16200000000015,480.0208503640004,156,0,0.338991412667286,-0.5070521296628345,0.5070521296628345,0.338991412667286,0.7741935483870968,1.2580645161290323,1.7741935483870968,12.252101184947184,-0.08916546037518076,0.6530879599659885,-2.264598806804393,0.7596131289031007,-2.1281483029621993,2.8683366581725576,-0.7500219474249845,3.0542663581399006,2.4082657833650023,1795.2211068137003,36.68483358529721,31.827454215792407,16.41345075490711,22.365691260302327,16.046720269751653,8.706725377453555,5.422145484099007,6.215143753656358,3.3561711856902208,3.950919887858235,1.9840106694335375,2.380509804212213,-3.839999999999999,10493151079.558838,8.723156108359438,9.316607700312174,5.403332025471043,209.95474450351088,20.43523276442885,22.6259266499618,0.0,0.0,5.724798628930537,11.938610575903699,0.0,9.589074368143644,0.0,0.0,64.3079057127448,52.46589950510445,4.472719515832414,17.819861230212858,47.84416836278539,52.076841457995314,5.724798628930537,0.0,0.0,0.0,0.0,92.23519683498404,0.0,11.49902366656781,0.0,0.0,11.49902366656781,15.929943897949348,35.23624265479781,0.0,0.0,60.78964454853852,58.85448788480207,0.0,27.070686298607537,0.0,115.06,139.88111806159785,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.365176662378204,23.544659859143398,136.23504564541875,2.9604337877764104,24.281419289703308,15.924603247022702,-5.274609377707655,-5.102511081508227,-13.274381510705279,0.0,0.0,0.0,0.0,31,4,6,0,0,0,3,0,3,6,4,7,8,0,0,0,3,5.597500000000005,122.13020000000003,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51177579,CNc1ccc(-c2nc3ccc(F)cc3s2)cc1,50483880,CHEMBL1774642,Amyloid-beta precursor protein,0.2,13.943726145862271,13.943726145862271,0.08190651533544768,-3.023657360990514,0.7467535010517902,258.32099999999997,247.23299999999995,258.06269757200005,90,0,0.15970018088992,-0.388121478227633,0.388121478227633,0.15970018088992,1.3333333333333333,2.1666666666666665,2.9444444444444446,11.689929376267743,-0.24403135092393052,0.48076585452173365,-2.383063014298079,0.603284427760889,-2.4211550369882575,2.9600623208706334,-0.9117358029469594,3.0741364825329263,2.337983648534347,1083.3814972470009,21.99711733102786,19.680639954473005,9.497136535400731,13.284487385823565,10.18887131346835,5.558154298896119,3.221141412010931,4.220212178773712,2.0785577055969213,3.0668534926612647,1.3102529680794661,2.178643993861164,-1.94,1821118.4522525056,4.313246362629185,4.383760210954235,1.9509576900035106,123.62324494366936,5.309813353288376,10.82484453789866,1.4118420783282006,0.0,0.0,0.0,0.0,9.374393568622029,0.0,11.336785877934737,0.0,42.29693095364306,22.33894033517346,19.8119305272769,19.50984268770522,27.240792786703665,0.0,4.9839785209472085,0.0,0.0,12.285640253570621,48.11415179468896,0.0,10.571075188549761,5.309813353288376,10.077801322358383,0.0,11.336785877934737,11.959805421229454,0.0,5.817220841045895,13.7075855617022,42.29693095364306,1.4118420783282006,20.787695822635122,0.0,24.92,60.77736496965476,4.39041504767482,0.0,26.0975091759235,11.336785877934737,0.0,0.0,0.0,0.0,4.9839785209472085,15.1194276400304,98.79860696330617,0.6593667721718313,4.018538950302342,-0.2337914359703681,-1.2701027231880402,-1.2128443951297487,-4.98611677050169,0.0,-3.023657360990514,0.0,0.07142857142857142,18,1,2,0,0,0,2,1,3,3,1,4,3,0,0,0,3,4.144100000000002,74.56070000000003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50840922,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,50067040,"((E,E)-1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione)::(1E,4Z,6E)-5-Hydroxy-1,7-bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,4,6-trien-3-one::(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one::(1E,6E)-1,7-Bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,6-diene-3,5-dione::(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::(1E,6E)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione::(1Z,6E)-1,7-Bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,6-diene-3,5-dione::(E,E)-1,7-Bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::1,7-Bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,6-diene-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadien-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)1,6-heptadiene-3,5-dione::1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione::1,7-bis-(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione::5-Hydroxy-1,7-bis-(4-hydroxy-3-methoxy-phenyl)-hepta-1,4,6-trien-3-one::5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)-1,4,6-heptatrien-3-one::CHEMBL116438::cid_5281767::curcumin I::curcumine::curcurmin::diferuloylmethane",Amyloid-beta precursor protein,0.208,13.013667899577438,13.013667899577438,1.0591595729227972,-4.000379109977325,0.5481228320623274,368.38499999999976,348.22500000000014,368.1259883600005,140,0,0.2932937444910775,-0.5042543435663183,0.5042543435663183,0.2932937444910775,1.037037037037037,1.5185185185185186,1.9259259259259258,11.201686811364544,-0.24553521929729133,-4.461753443266003e-18,-2.299505469986251,0.09186887617777445,-2.3264021495408524,2.0818122976799356,-0.9443955035304381,2.9560730922972582,2.7711116332008463,1568.3268731230328,36.720731970159456,32.94948974278318,12.949489742783179,21.25986700488023,16.44948974278318,6.6329931618554525,4.303869016623521,4.303869016623521,2.5248299142610593,2.5248299142610593,1.428029326771846,1.428029326771846,-3.5399999999999996,2447756089.756428,5.986990856843829,9.238837190939822,5.7434025122363215,184.80512297386596,19.69134228981452,0.0,34.5645372258655,0.0,2.8623993144652684,0.0,9.589074368143644,0.0,0.0,0.0,24.18898090739772,47.4007213061183,2.7415171123404405,42.3809667178181,53.95407066902217,23.67063338480101,2.8623993144652684,0.0,0.0,6.372924901329379,14.075904917765177,59.48555872144489,0.0,22.99804733313562,9.473725907600098,0.0,22.99804733313562,0.0,38.72241050717474,9.589074368143644,0.0,42.17348189578735,48.3586557380509,0.0,12.104143492071133,0.0,93.06000000000002,126.60306925847611,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69134228981452,27.536053325529227,163.08712595323658,0.0,26.027335799154876,8.166163060549462,-2.3080967394018237,-8.891675061338994,-13.670459165987666,-4.000379109977325,0.0,-6.660014736235111,0.14285714285714285,27,2,6,0,0,0,2,0,2,6,2,6,12,0,0,0,2,3.3699000000000026,102.01660000000001,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50183300,O=C(O)c1cc(/C=C\c2ccc(/C=C/c3ccc(O)c(C(=O)O)c3)c(Br)c2)ccc1O,50101412,5-[2-bromo-4-(3-carboxy-4-hydroxyphenethyl)phenethyl]-2-hydroxybenzoic acid::CHEMBL74348,Amyloid-beta precursor protein,0.27,12.142662124190496,12.142662124190496,0.5401271779500496,-1.6018777703770566,0.34110540958760865,481.29799999999983,464.16200000000015,480.0208503640004,156,0,0.338991412667286,-0.5070521296628345,0.5070521296628345,0.338991412667286,0.7741935483870968,1.2580645161290323,1.7741935483870968,12.252101184947215,-0.0891654603751819,0.6530879599659886,-2.264598806804385,0.7596131289031003,-2.128148302962204,2.868336658172558,-0.7500219474249873,3.0542663581399006,2.4082657833650023,1795.2211068137003,36.68483358529721,31.827454215792407,16.41345075490711,22.365691260302327,16.046720269751653,8.706725377453555,5.422145484099007,6.215143753656358,3.3561711856902208,3.950919887858235,1.9840106694335375,2.380509804212213,-3.839999999999999,10493151079.558838,8.723156108359438,9.316607700312174,5.403332025471043,209.95474450351088,20.43523276442885,22.6259266499618,0.0,0.0,5.724798628930537,11.938610575903699,0.0,9.589074368143644,0.0,0.0,64.3079057127448,52.46589950510445,4.472719515832414,17.819861230212858,47.84416836278539,52.076841457995314,5.724798628930537,0.0,0.0,0.0,0.0,92.23519683498404,0.0,11.49902366656781,0.0,0.0,11.49902366656781,15.929943897949348,35.23624265479781,0.0,0.0,60.78964454853852,58.85448788480207,0.0,27.070686298607537,0.0,115.06,139.88111806159785,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.365176662378204,23.544659859143398,136.23504564541878,2.9604337877764104,24.281419289703308,15.924603247022702,-5.274609377707655,-5.102511081508227,-13.274381510705279,0.0,0.0,0.0,0.0,31,4,6,0,0,0,3,0,3,6,4,7,8,0,0,0,3,5.597500000000005,122.13020000000003,0,0,0,0,2,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51177582,CN(C)c1ccc(-c2nc3ccc(F)cc3s2)cc1,50483881,CHEMBL1774643,Amyloid-beta precursor protein,0.3,14.02302225039876,14.02302225039876,0.14440651533544724,-3.3101156943238497,0.6957985562442504,272.34799999999973,259.24399999999997,272.07834763600033,96,0,0.12427337341139465,-0.3776608874187119,0.3776608874187119,0.12427337341139465,1.2105263157894737,2.0,2.736842105263158,11.282955509410458,-0.24432220324732332,0.31753923327629496,-2.4980017449247978,0.45130057405450213,-2.5586172784725094,2.88002815627821,-0.9501670066786426,3.093651031725884,2.369831643960175,1159.5562611955436,24.49711733102786,22.180639954473005,9.997136535400731,14.495812251228752,11.46526451571837,5.781761096646098,3.44474820976091,4.4438189765236915,2.190361104471911,3.1786568915362543,1.3661546675169611,2.234545693298659,-1.94,5355728.66612385,4.28097875591189,4.626154696508703,2.3115609669010064,132.95004291275853,4.899909730850478,10.82484453789866,0.0,0.0,0.0,0.0,0.0,9.374393568622029,0.0,11.336785877934737,0.0,42.29693095364306,33.427042903966374,19.8119305272769,22.210276277887676,27.240792786703665,0.0,4.9839785209472085,0.0,0.0,18.85156353141497,48.11415179468896,0.0,10.571075188549761,4.899909730850478,10.077801322358383,0.0,11.336785877934737,18.9356323215117,0.0,5.817220841045895,17.819861230212858,42.29693095364306,0.0,20.787695822635122,0.0,16.130000000000003,73.31664336163402,4.39041504767482,0.0,20.124154061788605,11.336785877934737,0.0,0.0,0.0,0.0,4.9839785209472085,17.819861230212858,114.97752313600166,0.6006765715545472,3.8586521108928205,-0.23160430839002255,-1.6320547262114713,-1.251297104037003,-5.701664291162847,0.0,-6.620231388647699,0.0,0.13333333333333333,19,0,2,0,0,0,2,1,3,3,0,4,4,0,0,0,3,4.168400000000003,79.34100000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51180265,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,50481120,Flutemetamol::[3H]-Flutemetamol,Amyloid-beta precursor protein,0.7,14.791758723946675,14.791758723946675,0.006782512387671025,-3.134596710102942,0.7457547162863496,274.31999999999977,263.23199999999997,274.0576121920003,96,0,0.29309336449253515,-0.5079109132181379,0.5079109132181379,0.29309336449253515,1.4736842105263157,2.4210526315789473,3.263157894736842,11.982130907584677,-0.24402996829520052,0.4918964630354212,-2.370398049705446,0.6251775600414016,-2.4227707984957307,2.9674953614418937,-0.9116765033343411,3.09880808515303,2.335606923551365,1150.6156472070575,22.704224112214405,20.088888244936868,9.905384825864594,13.82249218828435,10.301243749164145,5.76227844412805,3.425265557242863,4.424336324005645,2.2228774909493128,3.2111732780136557,1.4075810549068104,2.279062909864652,-2.1399999999999997,3031889.3245541505,4.756465263886079,4.512098560693943,2.125535800844382,128.5041489539926,10.418621544395588,16.574356371182567,1.4118420783282006,0.0,1.4311996572326342,0.0,0.0,9.374393568622029,0.0,11.336785877934737,0.0,36.25451224597977,16.6515540604899,24.128558245790245,23.247892322642212,27.240792786703665,1.4311996572326342,4.9839785209472085,0.0,0.0,12.285640253570621,42.07173308702566,0.0,16.320587021833667,5.309813353288376,10.077801322358383,5.749511833283905,11.336785877934737,18.4998132695693,0.0,5.817220841045895,12.33682700553198,36.25451224597977,1.4118420783282006,20.787695822635122,0.0,45.150000000000006,66.04790958697237,4.39041504767482,0.0,20.534057684226504,11.336785877934737,0.0,0.0,0.0,0.0,10.092786712054421,15.179868741092815,98.81215036446507,0.6680704758755349,4.019389290438396,3.7615085519533853,-1.7075479469157309,-2.004570218175016,-4.164403807538727,0.0,-3.134596710102942,0.0,0.07142857142857142,19,2,3,0,0,0,2,1,3,4,2,5,4,0,0,0,3,3.8497000000000012,76.22550000000003,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
