BindingDB Reactant_set_id,Ligand SMILES,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Ki (nM)
50833277,CN(C)c1ccc(/C=C/c2ccc(O)cc2)cc1,50173640,4-[(E)-2-(4-Dimethylamino-phenyl)-vinyl]-phenol::CHEMBL198598,Amyloid-beta precursor protein,1.1
51162696,CNc1ccc(C#Cc2ccc(OCCOCCF)cc2)cc1,50476303,CHEMBL227521,Amyloid-beta precursor protein,1.2
50344591,CNc1ccc(/C=C/c2ccc(O)cc2)cc1,50173647,(E)-4-(4-(methylamino)styryl)phenol::4-(4-(methylamino)styryl)phenol::4-N-methylamino-4'-hydroxystilbene::4-[(E)-2-(4-Methylamino-phenyl)-vinyl]-phenol::CHEMBL381642::SB-13::[3H]-4-(4-(methylamino)styryl)phenol,Amyloid-beta precursor protein,1.2
51172148,CN(C)c1ccc(-c2cn3cc(I)ccc3n2)cc1,50122787,"2-(4'-dimethylaminophenyl)-6-iodoimidazo[1,2-a]pyridine::4-(6-iodoH-imidazo[1,2-a]pyridin-2-yl)-N,N-dimethylbenzenamine::4-(6-iodoimidazo[1,2-a]pyridin-2-yl)-N,N-dimethylaniline::6-iodo-2-(4'-N,N'-dimethylamino)phenylimidazo[1,2-a]pyridine)::6-iodo-2-(4'-dimethylamino)phenyl-imidazo[1,2-a]pyridine::6-iodo-2-(4'-dimethylamino-)phenyl-imidazo[1,2]pyridine::CHEMBL78012::[4-(6-Iodo-imidazo[1,2-a]pyridin-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,1.3
51172142,CNc1ccc(-c2nc3ccccc3s2)cc1,50109052,"(4-Benzothiazol-2-yl-phenyl)-methyl-amine::4-(benzo[d]thiazol-2-yl)-N-methylaniline::CHEMBL93334::US10137210, Example [N-methyl-11C]BTA-1",Amyloid-beta precursor protein,1.3
50344540,CNc1ccc(-c2cc3cc(OC)ccc3o2)cc1,50185947,5-methoxy-2-(4-methylaminophenyl)benzofuran::CHEMBL208212,Amyloid-beta precursor protein,1.3
51169189,FCCOCCOCCOc1ccc(C#Cc2ccc3[nH]ccc3c2)cc1,50479453,CHEMBL519255,Amyloid-beta precursor protein,1.5
51162689,CNc1ccc(C#Cc2ccc(O)cc2)cc1,50476296,CHEMBL228033,Amyloid-beta precursor protein,1.5
51163807,CNc1ccc(C#Cc2cnc(OCCO)c(Br)c2)cc1,50476855,CHEMBL232112,Amyloid-beta precursor protein,1.6
50180615,CN1CCN(c2ccc(-c3nc4ccc(Br)cc4s3)cc2)CC1,50100132,6-Bromo-2-[4-(4-methyl-piperazin-1-yl)-phenyl]-benzothiazole::CHEMBL55536,Amyloid-beta precursor protein,1.6
51172122,CNc1ccc(-c2nc3ccc(O)cc3s2)cn1,50481119,AZD-2184::CHEMBL570378,Amyloid-beta precursor protein,1.7
50236165,CNc1ccc(-c2nc3ccc(Br)cc3s2)cc1,50129794,CHEMBL328660::[4-(6-Bromo-benzothiazol-2-yl)-phenyl]-methyl-amine,Amyloid-beta precursor protein,1.7
51162686,CNc1ccc(C#Cc2ccc(OCCOCCOCCF)cc2)cc1,50476293,CHEMBL227495,Amyloid-beta precursor protein,1.9
50236148,COc1ccc2nc(-c3ccc(N(C)C)cc3)sc2c1,50129784,"4-(6-Methoxybenzo[d]thiazol-2-yl)-N,N-dimethylaniline::CHEMBL328430::[4-(6-Methoxy-benzothiazol-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,1.9
51172126,CN(C)c1ccc(/C=C/c2ccc(I)cc2)cc1,50481123,CHEMBL570610,Amyloid-beta precursor protein,2.0
51179402,CNc1ccc(-c2cn3c(n2)sc2cc(OCC[18F])ccc23)cc1,50484947,CHEMBL2017621,Amyloid-beta precursor protein,2.1
51195493,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])cc2)cc1,50485236,BAY-949172::CHEBI:79033::FLORBETABEN F18::Florbetaben (18f)::Florbetaben F-18::Neuraceq::UNII-TLA7312TOI,Amyloid-beta precursor protein,2.2
51169325,COc1ccc2nc(-c3ccc(F)cc3)sc2c1,50293110,"2-(4-Fluorophenyl)-6-methoxybenzo[d]thiazole::6-Methoxy-2-(4'-fluorophenyl)-1,3-benzothiazole::CHEMBL490083",Amyloid-beta precursor protein,2.2
51211155,Nc1ccccc1OCc1ccc(I)cc1,50497742,CHEMBL3314336,Amyloid-beta precursor protein,1023.0
51195486,Cn1c(-c2ccc(NCCF)cc2)cc2ccccc21,50492181,CHEMBL2397725,Amyloid-beta precursor protein,1030.0
51195492,Cn1c(-c2ccc(NCCCF)cc2)cc2ccccc21,50492185,CHEMBL2397726,Amyloid-beta precursor protein,1098.0
51196555,Nc1ccc(-c2cnc3ccc(OCCF)cc3n2)cc1,50492525,CHEMBL2407626,Amyloid-beta precursor protein,1180.0
51211163,Nc1cccc(OCc2ccc(I)cc2)c1,50497741,CHEMBL3314335,Amyloid-beta precursor protein,1535.0
51163408,CNc1ccc(-c2cn3cc(SCC(N)=O)ccc3n2)cc1,50476654,CHEMBL241985,Amyloid-beta precursor protein,1840.0
51211151,Oc1ccccc1OCc1ccc(I)cc1,50497738,CHEMBL3314327,Amyloid-beta precursor protein,2818.0
348219,C#COc1ccc2nc3ccc(=O)cc-3oc2c1,195600,"US9216974, WC-5-1",Amyloid-beta precursor protein,4613.0
348217,COc1ccc2nc3ccc(=O)cc-3oc2c1,195584,"US9216974, Methoxy-resorufin",Amyloid-beta precursor protein,4675.0
51211166,COc1ccccc1OCc1ccc(I)cc1,50497744,CHEMBL3314324,Amyloid-beta precursor protein,5129.0
51211143,CNc1ccccc1OCc1ccc(I)cc1,50497734,CHEMBL3314339,Amyloid-beta precursor protein,20662.0
51172143,CNc1ccc(/C=C/c2ccc(OCCCCCCF)cc2)cc1,50481133,BAY-94-9172::CHEMBL566723,Amyloid-beta precursor protein,2.2
582011,CN(C)c1ccc(-c2nc3ccc(CO)cc3s2)cc1,303149,"US10137210, Example [N-methyl-11C]6-MeO-BTA-2",Amyloid-beta precursor protein,2.3
50344538,COc1ccc2oc(-c3ccc(N)cc3)cc2c1,50185946,5-methoxy-2-(4-aminophenyl)benzofuran::CHEMBL205221,Amyloid-beta precursor protein,2.3
51179879,CNc1ccc(-c2nc3ccc(O)cc3s2)c([18F])n1,50485233,AZD-4694::CHEMBL2042123,Amyloid-beta precursor protein,2.3
51172136,CN(C)c1ccc(/C=C/c2nc3ccccc3s2)cc1,52401,"4-[(E)-2-(1,3-benzothiazol-2-yl)ethenyl]-N,N-dimethyl-aniline::4-[(E)-2-(1,3-benzothiazol-2-yl)ethenyl]-N,N-dimethylaniline::4-[2-(1,3-benzothiazol-2-yl)vinyl]-N,N-dimethylaniline::CHEMBL565657::MLS000573782::SMR000184633::[4-[(E)-2-(1,3-benzothiazol-2-yl)vinyl]phenyl]-dimethyl-amine::cid_5378081",Amyloid-beta precursor protein,2.3
50344544,CN(C)c1ccc(-c2cc3cc(O)ccc3o2)cc1,50185950,5-hydroxy-2-(4-dimethylaminophenyl)benzofuran::CHEMBL204414,Amyloid-beta precursor protein,2.8
51162692,COc1ccc(C#Cc2ccc(O)cc2)cc1,50476299,CHEMBL228034,Amyloid-beta precursor protein,2.9
51179398,CNc1ccc(/C=C/c2ccc(OCCOCCOCC[18F])nc2)cc1,50484946,(18F)AV-45::18F-AV-45::AV-45 F-18::Amyvid::CHEBI:66880::Florbetapir (18f)::Florbetapir F 18,Amyloid-beta precursor protein,2.9
51172124,CNc1ccc(/C=C/c2ccc(OCCCCCCF)nc2)cc1,50481121,AV-45::Florbetapir F-18,Amyloid-beta precursor protein,2.9
51172129,CNc1ccc(/C=C/c2ccc(OCCCCF)cc2)cc1,50481126,CHEMBL566709,Amyloid-beta precursor protein,2.9
51162691,COc1ccc(C#Cc2ccc(N)cc2)cc1,50476298,CHEMBL223285,Amyloid-beta precursor protein,2.9
51162680,CN(C)c1ccc(C#Cc2ccc(OCCOCCOCCF)cc2)cc1,50476287,CHEMBL224096,Amyloid-beta precursor protein,2.9
50973589,Oc1ccc(-c2cc3ccccc3s2)cc1,50276892,CHEMBL4167943,Amyloid-beta precursor protein,3.0
51162685,CNc1ccc(C#Cc2ccc(OCCOCCO)cc2)cc1,50476292,CHEMBL227577,Amyloid-beta precursor protein,3.1
51179880,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCC(COCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)cc1,50485234,CHEMBL2042124,Amyloid-beta precursor protein,3.2
582016,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1I,303166,"US10137210, Example 00026",Amyloid-beta precursor protein,3.22
51162694,CN(C)c1ccc(C#Cc2ccc(OCCOCCOCCO)cc2)cc1,50476301,CHEMBL413436,Amyloid-beta precursor protein,3.4
51176669,CNc1ccc(-c2cn3c(n2)sc2cc(OC)ccc23)cc1,50483423,CHEMBL1671878,Amyloid-beta precursor protein,3.5
51162668,CN(C)c1ccc(/C=C/c2cnc(OCCO)c(Br)c2)cc1,50476276,CHEMBL390561,Amyloid-beta precursor protein,3.6
51162693,CN(C)c1ccc(C#Cc2ccc(OCCOCCO)cc2)cc1,50476300,CHEMBL389671,Amyloid-beta precursor protein,3.8
51171818,CN(C)c1ccc2nc(-c3ccc(F)cc3)sc2c1,50480917,CHEMBL566354,Amyloid-beta precursor protein,3.8
51172884,CN1C(=O)c2ccc(Nc3ccc(Br)cc3)cc2C1=O,50481608,CHEMBL598081,Amyloid-beta precursor protein,3.8
51179881,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCCOCC(COCCOCCOCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)cc1,50485235,CHEMBL2042245,Amyloid-beta precursor protein,3.9
50330486,Oc1ccc(-c2ccc(-c3ccc(NCCF)cc3)s2)cc1,50178546,4-(5-(4-(2-fluoroethylamino)phenyl)thiophen-2-yl)phenol::CHEMBL206224,Amyloid-beta precursor protein,3.9
51169190,FCCOCCOCCOc1ccc(C#Cc2ccc3c(c2)CCN3)cc1,50479454,CHEMBL451807,Amyloid-beta precursor protein,4.0
50330484,Oc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,25849,"4-[5-(4-hydroxyphenyl)thiophen-2-yl]phenol::CHEMBL204010::hydroxyphenyl substituted thiophene, 21",Amyloid-beta precursor protein,4.0
50236161,CN(C)c1ccc(-c2nc3ccccc3s2)cc1,50129791,"(4-Benzothiazol-2-yl-phenyl)-dimethyl-amine::4-(Benzo[d]thiazol-2-yl)-N,N-dimethylaniline::CHEMBL92816",Amyloid-beta precursor protein,4.0
51171819,CNc1ccc2nc(-c3ccc(F)cc3)sc2c1,50480918,CHEMBL578982,Amyloid-beta precursor protein,4.1
51172881,Cc1ccc(Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1,50481605,CHEMBL598288,Amyloid-beta precursor protein,4.1
50973529,Nc1ccc(-c2cc3ccccc3s2)cc1,50276883,CHEMBL4175800,Amyloid-beta precursor protein,4.3
51172149,CNc1ccc(/C=C/c2ccc(OCCCCCCCCF)cc2)cc1,50481136,CHEMBL566296,Amyloid-beta precursor protein,4.4
51189405,COc1ccc2nc(/N=C/c3ccc(N(C)C)cc3)sc2c1,50488953,CHEMBL2296467,Amyloid-beta precursor protein,4.4
50236160,CN(C)c1ccc(-c2nc3ccc(O)cc3s2)cc1,50129792,2-(4-Dimethylamino-phenyl)-benzothiazol-6-ol::CHEMBL91449,Amyloid-beta precursor protein,4.4
51172125,CN(C)c1ccc(/C=C/c2cccc(I)c2)cc1,50481122,CHEMBL567746,Amyloid-beta precursor protein,4.5
51162684,CNc1ccc(C#Cc2ccc(OCCOCCOCCO)cc2)cc1,50476291,CHEMBL227674,Amyloid-beta precursor protein,4.5
51162675,CNc1ccc(/C=C/c2cnc(OCCOCCOCCF)c(Br)c2)cc1,50476283,CHEMBL227921,Amyloid-beta precursor protein,4.5
50236151,CNc1ccc(-c2nc3ccc(OC)cc3s2)cc1,50129786,CHEMBL94230::[4-(6-Methoxy-benzothiazol-2-yl)-phenyl]-methyl-amine,Amyloid-beta precursor protein,4.9
582014,CNc1ccc(-c2nc3ccccc3s2)cc1I,303164,"US10137210, Example 00024",Amyloid-beta precursor protein,4.94
51162690,CN(C)c1ccc(C#Cc2ccc(OCCOCCF)cc2)cc1,50476297,CHEMBL227576,Amyloid-beta precursor protein,5.0
51033937,CNc1ccc(/C=C/c2ccc(OCC(CO)CF)cc2)cc1,50422738,CHEMBL567747,Amyloid-beta precursor protein,5.0
51162671,CNc1ccc(/C=C/c2cnc(OCCO)c(Br)c2)cc1,50476279,CHEMBL227817,Amyloid-beta precursor protein,5.0
50180612,CN1CCN(c2ccc(-c3nc4ccc(I)cc4s3)cc2)CC1,50100136,6-Iodo-2-[4-(4-methyl-piperazin-1-yl)-phenyl]-benzothiazole::CHEMBL58092,Amyloid-beta precursor protein,5.4
50330481,COc1ccc(-c2ccc(-c3ccc(N)cc3)s2)cc1,50178542,4-(5-(4-methoxyphenyl)thiophen-2-yl)benzenamine::CHEMBL203320,Amyloid-beta precursor protein,5.6
582010,CNc1ccc(-c2nc3ccc(CO)cc3s2)cc1,303148,"US10137210, Example [N-methyl-11C]6-MeO-BTA-1",Amyloid-beta precursor protein,5.7
51169323,Cc1ccc2nc(-c3ccc(F)cc3)sc2c1,50479543,CHEMBL510384,Amyloid-beta precursor protein,5.7
51163418,CN(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1,50122785,"4-(6-bromoH-imidazo[1,2-a]pyridin-2-yl)-N,N-dimethylbenzenamine::CHEMBL81260::[4-(6-Bromo-imidazo[1,2-a]pyridin-2-yl)-phenyl]-dimethyl-amine",Amyloid-beta precursor protein,5.9
50617050,CN(C)c1ccc(C#CC(=O)c2ccc(I)cc2)cc1,50334369,3-(4-(Dimethylamino)phenyl)-1-(4-iodophenyl)-2-propyn-1-one::CHEMBL1643335,Amyloid-beta precursor protein,6.0
51172141,CNc1ccc(/C=C/c2ccc(OCCCCCCCCCCF)cc2)cc1,50481132,CHEMBL570606,Amyloid-beta precursor protein,6.0
50330475,COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,50178536,4-(5-(4-methoxyphenyl)thiophen-2-yl)phenol::CHEMBL381991,Amyloid-beta precursor protein,6.1
50330487,Nc1ccc(-c2ccc(-c3ccc(N)cc3)s2)cc1,50178547,4-(5-(4-aminophenyl)thiophen-2-yl)benzenamine::CHEMBL382007,Amyloid-beta precursor protein,6.1
51163802,OCCOc1ncc(C#Cc2ccc(O)cc2)cc1I,50476850,CHEMBL232114,Amyloid-beta precursor protein,6.2
51163804,CN(C)c1ccc(C#Cc2cnc(OCCO)c(Br)c2)cc1,50476852,CHEMBL231917,Amyloid-beta precursor protein,6.7
51162669,OCCOc1ncc(/C=C\c2ccc(O)cc2)cc1Br,50476277,CHEMBL1162947,Amyloid-beta precursor protein,6.8
51162676,CN(C)c1ccc(/C=C/c2cnc(OCCOCCOCCF)c(Br)c2)cc1,50476284,CHEMBL227869,Amyloid-beta precursor protein,6.8
51163239,CNc1ccc(-c2nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3s2)cc1,50476564,CHEMBL242130,Amyloid-beta precursor protein,6.8
51297243,CN(C)c1ccc(-c2nc3cc([125I])ccc3o2)cn1,50528756,CHEMBL4470128,Amyloid-beta precursor protein,6.9
50236159,COc1ccc2nc(-c3ccc(N)cc3)sc2c1,50052701,"2-(4-Aminophenyl)-6-methoxybenzothiazole::4-(6-Methoxy-benzothiazol-2-yl)-phenylamine::CHEMBL92390::US10137210, Example 6-11CH3O-BTA-0",Amyloid-beta precursor protein,7.0
50236147,Nc1ccc(-c2nc3ccc(Br)cc3s2)cc1,50129783,4-(6-Bromo-benzothiazol-2-yl)-phenylamine::CHEMBL92852,Amyloid-beta precursor protein,7.2
51163409,CNc1ccc(-c2cn3cc(Br)ccc3n2)cc1Br,50476655,CHEMBL245208,Amyloid-beta precursor protein,7.4
50344597,CNc1ccc(/C=C/C=C/C=C/c2ccc(NC)cc2)cc1,50185991,"1,6-bis(4'-methylaminophenyl)-hexa-1,3,5-triene::CHEMBL208457",Amyloid-beta precursor protein,7.5
51162674,CN(C)c1ccc(/C=C/c2cnc(OCCOCCOCCF)c(I)c2)cc1,50476282,CHEMBL227750,Amyloid-beta precursor protein,7.5
