Ki (nM)
0.11
0.13
0.14
0.17
0.19
0.2
0.208
0.27
0.3
0.7
0.7
0.8
0.8
0.895
0.895
0.9
0.9
1.1
1.2
1.2
1.3
1.3
1.3
1.5
1.5
1.6
1.6
1.7
1.7
1.9
1.9
2.0
2.1
2.2
2.2
1023.0
1030.0
1098.0
1180.0
1535.0
1840.0
2818.0
4613.0
4675.0
5129.0
20662.0
2.2
2.3
2.3
2.3
2.3
2.8
2.9
2.9
2.9
2.9
2.9
2.9
3.0
3.1
3.2
3.22
3.4
3.5
3.6
3.8
3.8
3.8
3.9
3.9
4.0
4.0
4.0
4.1
4.1
4.3
4.4
4.4
4.4
4.5
4.5
4.5
4.9
4.94
5.0
5.0
5.0
5.4
5.6
5.7
5.7
5.9
6.0
6.0
6.1
6.1
6.2
6.7
6.8
6.8
6.8
6.9
7.0
7.2
7.4
7.5
7.5
7.5
7.5
7.5
7.6
7.6
7.7
7.7
7.8
7.9
8.2
8.2
8.3
8.3
8.32
8.5
8.6
9.0
9.0
9.0
9.0
9.0
9.1
9.2
9.37
9.5
9.6
10.0
10.0
10.0
11.0
11.0
11.0
11.0
11.0
11.1
11.5
12.0
12.0
12.0
12.0
12.0
12.0
13.0
13.0
13.0
13.2
14.0
14.0
14.0
15.0
15.0
15.0
16.0
16.0
16.0
16.0
17.0
17.0
18.0
19.0
19.0
19.0
19.0
19.97
20.0
20.0
21.0
21.0
21.0
22.0
22.0
22.0
22.0
22.0
22.0
22.6
23.0
23.0
24.0
24.0
24.0
24.9
25.0
25.0
26.0
26.0
26.0
27.0
28.0
28.0
29.0
29.0
31.0
31.0
32.0
32.0
32.5
34.0
35.0
36.0
36.0
37.0
37.0
38.0
39.0
39.0
39.0
39.0
40.0
41.0
46.0
46.0
48.0
48.3
49.0
51.0
54.0
54.24
56.0
56.0
59.0
60.0
63.0
64.0
64.0
64.0
68.0
71.0
72.5
73.0
74.0
76.0
79.0
80.0
80.0
80.0
84.0
84.0
84.0
85.0
87.0
88.0
88.0
92.0
92.0
95.0
95.0
99.0
103.0
103.0
104.0
106.0
106.0
107.0
107.0
108.0
108.0
110.0
111.0
112.0
113.0
116.0
117.0
117.0
119.0
121.0
125.0
126.0
130.0
130.0
131.0
131.0
139.0
140.0
142.0
144.0
147.0
150.0
152.0
153.0
155.0
175.0
177.0
177.0
179.0
183.0
185.0
190.0
191.0
205.0
214.0
218.0
232.7
235.0
242.0
242.0
244.0
252.0
260.0
262.0
265.0
267.0
287.0
316.3
325.0
326.0
339.0
347.0
353.0
358.0
358.0
377.0
386.0
391.0
407.0
407.0
421.0
432.0
438.0
439.0
460.0
468.0
500.0
500.0
515.0
525.0
589.0
625.0
638.0
645.0
658.0
695.0
703.0
741.0
758.0
770.0
776.0
837.0
839.2
860.0
891.0
958.1
